iBike,13,metric
2017,1,18,21,1,18
,<-Weight (kg) Energy (kJ),Aero,Fric,dt,Ref Elev (m),Climbing (m),Wheel Circ (mm),Ref Temper (degC),Ref Press (mbar),Internal,Wind Scaling,Riding Tilt (%),Cal Weight (kg),Internal,Cm,CdA (m^2),Crr,Note,UTC Time Zone Offset,Creator,Ride Duration,Ride Distance (km),Calories Burned (kcal),Trainer Ride,Device
72.574779,646.000000,0.711703,12.102514,1.000000,0.000000,0.000000,2096.0,14.85,1013.25,-10,2.32363,-1.30,72.6,0.000,1.0204,0.30629,0.004000,,6.50,"iBike Newton, 6.12",0:26:44,11.40,292.5,TRUE,iBike Newton
Speed (km/hr),Wind Speed (km/hr),Power (W),Distance (km),Cadence (RPM),Heartrate (BPM),Elevation (meters),Hill slope (%),Temperature (degC),Lap Marker,Annotation,DFPM Power,Latitude,Longitude,Timestamp,Moving Time,CdA (m^2),Air Dens (kg/m^3)
4.5062,0,20.4249,0.0013,0,0,519.3792,1.2,23.3333,1,,0,0,0,2017-01-18T14:31:18Z,0,0.3063,1.119
0,0,0,0.0013,0,0,519.684,1.3,23.3333,,,0,0,0,2017-01-18T14:31:19Z,1,0.3063,1.119
4.989,0,22.9663,0.0026,0,0,519.684,1.2,23.3333,,,0,0,0,2017-01-18T14:31:22Z,2,0.3063,1.119
4.989,0,22.9663,0.004,0,0,519.684,0.8,23.3333,,,0,0,0,2017-01-18T14:31:23Z,3,0.3063,1.119
0,0,0,0.004,0,0,519.684,0.8,23.3333,,,0,0,0,2017-01-18T14:31:24Z,4,0.3063,1.119
5.9546,0,28.2468,0.0057,0,0,519.684,1.2,23.3333,,,0,0,0,2017-01-18T14:31:30Z,5,0.3063,1.119
8.5295,0,43.5857,0.008,0,0,519.3792,0.2,23.3333,,,0,0,0,2017-01-18T14:31:31Z,6,0.3063,1.119
10.4607,0,56.2491,0.011,0,0,519.3792,-1.3,23.3333,,,0,0,0,2017-01-18T14:31:32Z,7,0.3063,1.119
11.7482,0,65.2226,0.0142,0,0,519.3792,-2.7,23.3333,,,0,0,0,2017-01-18T14:31:33Z,8,0.3063,1.119
12.5529,0,71.041,0.0177,0,0,519.3792,-3.1,23.3333,,,0,0,0,2017-01-18T14:31:34Z,9,0.3063,1.119
