iBike,13,metric
2017,1,19,7,18,34
Repaired trainer ride,<-Weight (kg) Energy (kJ),Aero,Fric,dt,Ref Elev (m),Climbing (m),Wheel Circ (mm),Ref Temper (degC),Ref Press (mbar),Internal,Wind Scaling,Riding Tilt (%),Cal Weight (kg),Internal,Cm,CdA (m^2),Crr,Note,UTC Time Zone Offset,Creator,Ride Duration,Ride Distance (km),Calories Burned (kcal),Trainer Ride,Device
72.574779,1184.305906,0.711703,12.102514,1.000000,0.000000,657.758400,2096.0,14.85,1013.25,-8,2.32363,-1.30,72.6,0.000,1.0204,0.30629,0.004000,,6.50,"iBike Newton, 6.12",2:35:35,62.66,1133.9,FALSE,iBike Newton
Speed (km/hr),Wind Speed (km/hr),Power (W),Distance (km),Cadence (RPM),Heartrate (BPM),Elevation (meters),Hill slope (%),Temperature (degC),Lap Marker,Annotation,DFPM Power,Latitude,Longitude,Timestamp,Moving Time,CdA (m^2),Air Dens (kg/m^3)
13.1966,16.7449,0,0.0037,0,0,516.636,1.2,20.5556,1,,0,0,0,2017-01-19T00:48:34Z,0,0.3063,1.1299
13.6794,17.5622,0,0.0075,0,0,516.636,1.2,20.5556,,,0,0,0,2017-01-19T00:48:35Z,1,0.3063,1.1299
13.6794,16.7452,0,0.0113,0,0,516.9408,1.3,20.5556,,,0,0,0,2017-01-19T00:48:36Z,2,0.3063,1.1299
13.6794,15.8859,75.2538,0.0151,54,0,516.9408,1.4,20.5556,,,0,0,0,2017-01-19T00:48:37Z,3,0.3063,1.1299
13.5185,14.9774,97.962,0.0188,54,119,517.2456,2.2,20.5556,,,0,0,0,2017-01-19T00:48:38Z,4,0.3063,1.1299
13.6794,15.8859,100.5799,0.0226,54,119,516.9408,2.5,20.5556,,,0,0,0,2017-01-19T00:48:39Z,5,0.3063,1.1299
13.6794,14.01,97.6766,0.0264,55,119,516.9408,2.6,20.5556,,,0,0,0,2017-01-19T00:48:40Z,6,0.3063,1.1299
13.8404,14.01,98.8258,0.0303,55,119,516.9408,2.7,20.5556,,,0,0,0,2017-01-19T00:48:41Z,7,0.3063,1.1299
13.8404,14.9774,70.3998,0.0341,55,118,516.9408,2.4,20.5556,,,0,0,0,2017-01-19T00:48:42Z,8,0.3063,1.1299
13.8404,14.01,68.9311,0.038,56,118,516.9408,2,20.5556,,,0,0,0,2017-01-19T00:48:43Z,9,0.3063,1.1299
14.0013,15.8862,62.6234,0.0418,56,118,516.636,1.5,20.5556,,,0,0,0,2017-01-19T00:48:44Z,10,0.3063,1.1299
14.1622,14.9776,56.0137,0.0458,56,118,516.636,1.1,20.5556,,,0,0,0,2017-01-19T00:48:45Z,11,0.3063,1.1299
14.3232,15.8865,75.8488,0.0498,57,118,516.636,1,20.5556,,,0,0,0,2017-01-19T00:48:46Z,12,0.3063,1.1298
14.645,17.5628,68.6108,0.0538,57,117,516.9408,0.8,20.5556,,,0,0,0,2017-01-19T00:48:47Z,13,0.3063,1.1299
14.645,16.7455,42.9556,0.0579,58,117,516.9408,0.8,20.5556,,,0,0,0,2017-01-19T00:48:48Z,14,0.3063,1.1299
