iBike,13,metric
2017,2,24,7,45,4
,<-Weight (kg) Energy (kJ),Aero,Fric,dt,Ref Elev (m),Climbing (m),Wheel Circ (mm),Ref Temper (degC),Ref Press (mbar),Internal,Wind Scaling,Riding Tilt (%),Cal Weight (kg),Internal,Cm,CdA (m^2),Crr,Note,UTC Time Zone Offset,Creator,Ride Duration,Ride Distance (km),Calories Burned (kcal),Trainer Ride,Device
73.935556,1157.879406,0.650000,4.634426,1.000000,0.000000,374.565422,2105.0,14.85,1013.25,-8,2.19454,-0.10,73.9,0.000,1.0204,0.29619,0.005390,,6.50,"iBike Newton, 6.21",2:22:07,72.92,1107.0,FALSE,iBike Newton
Speed (km/hr),Wind Speed (km/hr),Power (W),Distance (km),Cadence (RPM),Heartrate (BPM),Elevation (meters),Hill slope (%),Temperature (degC),Lap Marker,Annotation,DFPM Power,Latitude,Longitude,Timestamp,Moving Time,CdA (m^2),Air Dens (kg/m^3)
10.4607,0,0,0.0029,0.001,74,525.1704,-2.5594,26.1111,1,,0,0,0,2017-02-24T01:15:04Z,0,0.2962,1.1078
9.4951,0,0,0.0055,0.001,76,525.1704,-0.5594,26.1111,,,0,0,0,2017-02-24T01:15:05Z,1,0.2962,1.1078
0,0,0,0.0055,0.001,77,525.1704,1.4406,26.1111,,,0,0,0,2017-02-24T01:15:06Z,2,0.2962,1.1079
6.9202,7.3497,0,0.0075,0.001,87,525.1704,-0.5594,26.1111,,,0,0,0,2017-02-24T01:16:16Z,3,0.2962,1.1079
7.8858,9.0013,0,0.0097,0,87,524.8656,-2.5594,26.1111,,,0,0,0,2017-02-24T01:16:17Z,4,0.2962,1.1079
9.4951,10.3938,0,0.0123,0,89,525.1704,-4.5594,26.1111,,,0,0,0,2017-02-24T01:16:18Z,5,0.2962,1.1079
10.7826,5.1969,0,0.0153,43,90,525.1704,-6.5594,26.1111,,,0,0,0,2017-02-24T01:16:19Z,6,0.2962,1.1079
11.1045,5.1969,0,0.0184,46,91,525.1704,-6.6532,26.1111,,,0,0,0,2017-02-24T01:16:20Z,7,0.2962,1.1079
11.9091,7.3494,0,0.0217,50,91,525.1704,-6.3174,26.1111,,,0,0,0,2017-02-24T01:16:21Z,8,0.2962,1.1079
12.8748,7.3494,0,0.0253,49,92,525.1704,-6.1001,26.1111,,,0,0,0,2017-02-24T01:16:22Z,9,0.2962,1.1079
