iBike,13,metric
2017,3,15,15,55,52
,<-Weight (kg) Energy (kJ),Aero,Fric,dt,Ref Elev (m),Climbing (m),Wheel Circ (mm),Ref Temper (degC),Ref Press (mbar),Internal,Wind Scaling,Riding Tilt (%),Cal Weight (kg),Internal,Cm,CdA (m^2),Crr,Note,UTC Time Zone Offset,Creator,Ride Duration,Ride Distance (km),Calories Burned (kcal),Trainer Ride,Device
73.935556,1950.000000,0.375000,2.468199,1.000000,0.000000,9.144000,2105.0,14.85,1013.25,-11,1.05932,0.20,73.9,0.000,1.0204,0.35400,0.005403,,6.50,"iBike Newton, 6.21",2:21:35,59.25,1366.3,TRUE,iBike Newton
Speed (km/hr),Wind Speed (km/hr),Power (W),Distance (km),Cadence (RPM),Heartrate (BPM),Elevation (meters),Hill slope (%),Temperature (degC),Lap Marker,Annotation,DFPM Power,Latitude,Longitude,Timestamp,Moving Time,CdA (m^2),Air Dens (kg/m^3)
13.0357,0,71.6278,0.0036,60,0,564.1848,-0.7,29.4444,1,,0,0,0,2017-03-15T09:25:52Z,0,0.354,1.0905
14.0013,0,78.251,0.0075,60,0,564.1848,-0.7,29.4444,,,0,0,0,2017-03-15T09:25:53Z,1,0.354,1.0905
14.1622,0,79.3708,0.0114,51,0,564.1848,-1.2,29.4444,,,0,0,0,2017-03-15T09:25:54Z,2,0.354,1.0905
15.1278,0,86.1829,0.0156,51,78,563.88,-1.3,29.4444,,,0,0,0,2017-03-15T09:25:55Z,3,0.354,1.0905
14.9669,0,85.0365,0.0198,36,77,563.88,-0.8,29.4444,,,0,0,0,2017-03-15T09:25:56Z,4,0.354,1.0905
13.6794,0,76.0251,0.0236,0,76,563.88,-0.3,29.4444,,,0,0,0,2017-03-15T09:25:57Z,5,0.354,1.0905
0,0,0,0.0236,0,76,563.88,1.3,29.4444,,,0,0,0,2017-03-15T09:25:58Z,6,0.354,1.0905
9.0123,0,45.8613,0.0261,0,71,563.88,-0.7,29.4444,,,0,0,0,2017-03-15T09:27:20Z,7,0.354,1.0904
14.645,0,82.7569,0.0302,54,76,564.1848,-1.7,29.4444,,,0,0,0,2017-03-15T09:27:21Z,8,0.354,1.0904
19.3121,0,117.4788,0.0355,68,78,563.88,-3.2,29.4444,,,0,0,0,2017-03-15T09:27:22Z,9,0.354,1.0904
20.5996,0,127.6575,0.0413,71,83,564.1848,-4.2,29.4444,,,0,0,0,2017-03-15T09:27:23Z,10,0.354,1.0904
21.5652,0,135.4514,0.0473,73,87,564.1848,-4.2,29.4444,,,0,0,0,2017-03-15T09:27:24Z,11,0.354,1.0904
21.4043,0,134.1431,0.0532,74,89,564.1848,-3.3,29.4444,,,0,0,0,2017-03-15T09:27:25Z,12,0.354,1.0904
5.9546,0,28.3741,0.0549,74,93,564.1848,-1.3,29.4444,,,0,0,0,2017-03-15T09:27:26Z,13,0.354,1.0904
21.0824,0,131.5376,0.0607,71,95,563.88,-0.3,29.4444,,,0,0,0,2017-03-15T09:27:27Z,14,0.354,1.0905
21.5652,0,135.4514,0.0667,73,97,563.88,-0.2,29.4444,,,0,0,0,2017-03-15T09:27:28Z,15,0.354,1.0905
21.8871,0,138.0791,0.0728,72,99,563.88,-0.1,29.4444,,,0,0,0,2017-03-15T09:27:29Z,16,0.354,1.0905
21.4043,0,134.1431,0.0787,71,99,563.88,-0.4,29.4444,,,0,0,0,2017-03-15T09:27:30Z,17,0.354,1.0905
21.4043,0,134.1431,0.0847,71,101,563.88,-0.4,29.4444,,,0,0,0,2017-03-15T09:27:31Z,18,0.354,1.0905
21.2433,0,132.8385,0.0906,71,102,563.88,0.2,29.4444,,,0,0,0,2017-03-15T09:27:32Z,19,0.354,1.0904
21.0824,0,131.5376,0.0964,71,103,564.1848,0,30,,,0,0,0,2017-03-15T09:27:33Z,20,0.354,1.0885
20.9215,0,130.2405,0.1022,70,103,564.1848,0,30,,,0,0,0,2017-03-15T09:27:34Z,21,0.354,1.0884
21.0824,0,131.5376,0.1081,70,104,564.1848,-0.1,30,,,0,0,0,2017-03-15T09:27:35Z,22,0.354,1.0884
20.9215,0,130.2405,0.1139,69,105,563.88,0.2,30,,,0,0,0,2017-03-15T09:27:36Z,23,0.354,1.0884
20.9215,0,130.2405,0.1197,69,105,563.88,0.3,30,,,0,0,0,2017-03-15T09:27:37Z,24,0.354,1.0884
20.7605,0,128.9471,0.1255,68,107,564.1848,0.2,30,,,0,0,0,2017-03-15T09:27:38Z,25,0.354,1.0885
20.4387,0,126.3717,0.1312,66,107,563.88,0.6,30,,,0,0,0,2017-03-15T09:27:39Z,26,0.354,1.0885
19.634,0,120.0002,0.1366,62,108,563.88,0.9,30,,,0,0,0,2017-03-15T09:27:40Z,27,0.354,1.0885
18.3465,0,110.0095,0.1417,62,109,563.5752,2.1,30,,{},0,0,0,2017-03-15T09:27:41Z,28,0.354,1.0885
