iBike,13,metric
2017,4,22,10,57,48
,<-Weight (kg) Energy (kJ),Aero,Fric,dt,Ref Elev (m),Climbing (m),Wheel Circ (mm),Ref Temper (degC),Ref Press (mbar),Internal,Wind Scaling,Riding Tilt (%),Cal Weight (kg),Internal,Cm,CdA (m^2),Crr,Note,UTC Time Zone Offset,Creator,Ride Duration,Ride Distance (km),Calories Burned (kcal),Trainer Ride,Device
73.935556,383.911344,0.375000,2.468199,1.000000,0.000000,157.032960,2105.0,14.85,1013.25,-8,1.05932,0.20,73.9,0.000,1.0204,0.35400,0.005403,,5.50,"iBike Newton, 6.21",1:29:53,34.35,369.1,FALSE,iBike Newton
Speed (km/hr),Wind Speed (km/hr),Power (W),Distance (km),Cadence (RPM),Heartrate (BPM),Elevation (meters),Hill slope (%),Temperature (degC),Lap Marker,Annotation,DFPM Power,Latitude,Longitude,Timestamp,Moving Time,CdA (m^2),Air Dens (kg/m^3)
19.9559,0,0,0.0055,0.001,0,7.0104,-0.6,37.2222,1,,0,0,0,2017-04-22T05:27:48Z,0,0.354,1.1363
25.1058,0,0,0.0125,0.001,0,7.0104,-1.6,37.2222,,,0,0,0,2017-04-22T05:27:49Z,1,0.354,1.1363
24.623,0,0,0.0194,0.001,0,7.3152,-2.1,37.7778,,,0,0,0,2017-04-22T05:27:50Z,2,0.354,1.1343
20.1168,0,0,0.0249,0.001,0,7.0104,-2.1,37.7778,,,0,0,0,2017-04-22T05:27:51Z,3,0.354,1.1343
0,0,0,0.0249,0,0,7.3152,-1.1,37.7778,,,0,0,0,2017-04-22T05:27:52Z,4,0.354,1.1343
6.7592,0,45,0.0268,40,90,7.0104,0.4,37.7778,,,0,0,0,2017-04-22T05:29:04Z,5,0.354,1.1343
6.4374,0,0,0.0286,0,91,7.0104,0.4,37.7778,,,0,0,0,2017-04-22T05:29:05Z,6,0.354,1.1343
7.5639,0,0,0.0307,0,92,7.0104,0.9,37.7778,,,0,0,0,2017-04-22T05:29:06Z,7,0.354,1.1343
8.0467,0,0,0.0329,0,94,7.3152,1.9,37.7778,,,0,0,0,2017-04-22T05:29:07Z,8,0.354,1.1343
12.5529,7.1367,0,0.0364,0,96,7.3152,1.9,37.7778,,,0,0,0,2017-04-22T05:29:08Z,9,0.354,1.1343
16.5762,11.2843,0,0.041,0,97,7.3152,2.2,37.7778,,,0,0,0,2017-04-22T05:29:09Z,10,0.354,1.1343
19.7949,10.0928,0,0.0465,0,101,7.3152,2.4,37.7778,,,0,0,0,2017-04-22T05:29:10Z,11,0.354,1.1343
22.6918,15.1395,0,0.0528,0,102,7.3152,1.7,37.7778,,,0,0,0,2017-04-22T05:29:11Z,12,0.354,1.1343
21.5652,14.2734,0,0.0588,0,105,7.3152,1.4,37.7778,,,0,0,0,2017-04-22T05:29:12Z,13,0.354,1.1343
21.0824,12.3612,0,0.0647,81,107,7.3152,1.3,37.7778,,,0,0,0,2017-04-22T05:29:13Z,14,0.354,1.1343
20.7605,12.8659,111,0.0705,83,110,7.3152,1,37.7778,,,0,0,0,2017-04-22T05:29:14Z,15,0.354,1.1343
21.0824,12.8661,52,0.0763,76,112,7.0104,0.7,37.7778,,,0,0,0,2017-04-22T05:29:15Z,16,0.354,1.1343
20.9215,17.1136,0,0.0821,52,114,7.0104,0.6,37.7778,,,0,0,0,2017-04-22T05:29:16Z,17,0.354,1.1343
20.4387,14.713,0,0.0878,52,115,7.0104,0.4,37.7778,,,0,0,0,2017-04-22T05:29:17Z,18,0.354,1.1343
20.1168,21.4105,0,0.0934,32,115,7.3152,-0.2,37.7778,,,0,0,0,2017-04-22T05:29:18Z,19,0.354,1.1343
19.3121,14.713,0,0.0988,0,119,7.0104,0.1,37.7778,,,0,0,0,2017-04-22T05:29:19Z,20,0.354,1.1343
18.6684,13.3518,0,0.1039,0,123,7.0104,0.6,37.7778,,,0,0,0,2017-04-22T05:29:20Z,21,0.354,1.1343
19.3121,14.2737,106,0.1093,77,122,7.3152,0.6,37.7778,,,0,0,0,2017-04-22T05:29:21Z,22,0.354,1.1343
19.634,14.713,109,0.1148,80,122,7.3152,0.8,37.7778,,,0,0,0,2017-04-22T05:29:22Z,23,0.354,1.1343
20.2777,11.8349,114,0.1204,81,121,7.3152,0.6,37.7778,,,0,0,0,2017-04-22T05:29:23Z,24,0.354,1.1343
20.7605,15.1393,95,0.1262,84,120,7.62,0.1,37.7778,,,0,0,0,2017-04-22T05:29:24Z,25,0.354,1.1343
21.0824,17.1133,111,0.132,85,119,7.3152,0.2,37.7778,,,0,0,0,2017-04-22T05:29:25Z,26,0.354,1.1343
21.5652,15.9585,132,0.138,87,119,7.3152,0.4,37.7778,,,0,0,0,2017-04-22T05:29:26Z,27,0.354,1.1343
22.048,15.5541,98,0.1441,89,118,7.3152,0.4,37.7778,,,0,0,0,2017-04-22T05:29:27Z,28,0.354,1.1343
22.2089,14.7127,114,0.1503,90,118,7.3152,0.5,37.7778,,,0,0,0,2017-04-22T05:29:28Z,29,0.354,1.1343
22.6918,12.8661,0,0.1566,79,118,7.3152,0.1,37.7778,,,0,0,0,2017-04-22T05:29:29Z,30,0.354,1.1343
22.5308,15.1395,0,0.1629,48,118,7.3152,0,37.7778,,,0,0,0,2017-04-22T05:29:30Z,31,0.354,1.1343
22.2089,15.5544,0,0.169,0,119,7.0104,-0.3,37.7778,,,0,0,0,2017-04-22T05:29:31Z,32,0.354,1.1343
22.048,14.7133,166,0.1752,89,119,7.0104,-0.3,37.7778,,,0,0,0,2017-04-22T05:29:32Z,33,0.354,1.1343
23.0136,15.9585,196,0.1815,95,119,7.0104,-0.1,37.7778,,,0,0,0,2017-04-22T05:29:33Z,34,0.354,1.1343
23.6574,16.3526,112,0.1881,96,119,7.3152,-0.4,37.7778,,,0,0,0,2017-04-22T05:29:34Z,35,0.354,1.1343
24.3011,14.2737,96,0.1949,84,120,7.3152,-0.4,37.7778,,,0,0,0,2017-04-22T05:29:35Z,36,0.354,1.1343
24.7839,16.7374,0,0.2017,84,121,7.3152,-1.1,37.7778,,,0,0,0,2017-04-22T05:29:36Z,37,0.354,1.1343
24.462,17.1136,0,0.2085,41,122,7.0104,-0.9,37.7778,,,0,0,0,2017-04-22T05:29:37Z,38,0.354,1.1343
23.9792,17.1136,0,0.2152,0,123,7.0104,-0.9,37.7778,,,0,0,0,2017-04-22T05:29:38Z,39,0.354,1.1343
23.3355,15.9582,0,0.2217,0,123,7.0104,-0.7,37.7778,,,0,0,0,2017-04-22T05:29:39Z,40,0.354,1.1343
22.5308,16.3523,0,0.2279,0,123,7.0104,0.3,37.7778,,,0,0,0,2017-04-22T05:29:40Z,41,0.354,1.1343
22.8527,6.1806,262,0.2343,95,123,7.0104,0.7,37.7778,,,0,0,0,2017-04-22T05:29:41Z,42,0.354,1.1343
23.9792,14.713,123,0.241,97,125,7.0104,0.6,37.7778,,,0,0,0,2017-04-22T05:29:42Z,43,0.354,1.1343
24.462,8.7408,116,0.2477,97,126,7.3152,0.8,37.7778,,,0,0,0,2017-04-22T05:29:43Z,44,0.354,1.1343
24.462,7.1368,78,0.2545,98,126,7.3152,0.4,37.7778,,,0,0,0,2017-04-22T05:29:44Z,45,0.354,1.1343
24.623,7.9791,70,0.2614,99,126,7.62,-0.2,37.7778,,,0,0,0,2017-04-22T05:29:45Z,46,0.354,1.1343
25.1058,17.1133,205,0.2684,100,126,7.62,0.1,37.7778,,,0,0,0,2017-04-22T05:29:46Z,47,0.354,1.1343
25.4276,15.5541,144,0.2754,101,125,7.62,0.2,37.7778,,,0,0,0,2017-04-22T05:29:47Z,48,0.354,1.1343
25.5886,16.3523,80,0.2825,101,125,7.9248,0.1,37.7778,,,0,0,0,2017-04-22T05:29:48Z,49,0.354,1.1343
25.5886,16.7371,157,0.2896,101,125,7.9248,0.7,37.7778,,,0,0,0,2017-04-22T05:29:49Z,50,0.354,1.1343
25.7495,12.3612,133,0.2968,102,125,8.2296,0.8,37.7778,,,0,0,0,2017-04-22T05:29:50Z,51,0.354,1.1343
25.5886,11.2843,106,0.3039,101,124,8.2296,0.9,37.7778,,,0,0,0,2017-04-22T05:29:51Z,52,0.354,1.1343
25.5886,11.8351,157,0.311,102,124,8.2296,1.4,37.7778,,,0,0,0,2017-04-22T05:29:52Z,53,0.354,1.1343
25.7495,11.8353,142,0.3182,102,124,8.5344,1.4,37.7778,,,0,0,0,2017-04-22T05:29:53Z,54,0.354,1.1343
25.7495,13.3521,147,0.3253,102,124,8.5344,1.5,37.7778,,,0,0,0,2017-04-22T05:29:54Z,55,0.354,1.1343
25.7495,14.274,136,0.3325,101,125,8.8392,1.6,37.7778,,,0,0,0,2017-04-22T05:29:55Z,56,0.354,1.1343
25.5886,13.3523,159,0.3396,100,126,8.8392,1.9,37.7778,,,0,0,0,2017-04-22T05:29:56Z,57,0.354,1.1342
25.2667,8.7411,130,0.3466,99,127,8.8392,2.1,37.7778,,,0,0,0,2017-04-22T05:29:57Z,58,0.354,1.1342
24.9448,10.7059,112,0.3535,98,128,8.8392,2.5,37.7778,,,0,0,0,2017-04-22T05:29:58Z,59,0.354,1.1342
24.7839,7.1372,104,0.3604,98,129,8.8392,2.3,37.7778,,,0,0,0,2017-04-22T05:29:59Z,60,0.354,1.1342
24.623,11.285,0,0.3672,99,130,9.144,2.5,37.7778,,,0,0,0,2017-04-22T05:30:00Z,61,0.354,1.1342
11.5873,11.836,0,0.3705,98,132,9.4488,3.2,37.7778,,,0,0,0,2017-04-22T05:30:01Z,62,0.354,1.1341
10.5412,10.0938,72.7981,0.3773,97,132,9.4488,3.2,37.7778,,,0,0,0,2017-04-22T05:30:02Z,63,0.354,1.1341
9.4951,7.1375,53.5008,0.3841,98,133,9.7536,3.5,37.7778,,,0,0,0,2017-04-22T05:30:03Z,64,0.354,1.1341
8.4491,7.98,40.9965,0.3909,97,133,10.0584,3.9,37.7778,,,0,0,0,2017-04-22T05:30:04Z,65,0.354,1.1341
7.403,7.1375,54.1239,0.3929,98,134,10.0584,4.2,37.7778,,,0,0,0,2017-04-22T05:30:05Z,66,0.354,1.1341
22.8527,12.3625,148.5653,0.3993,98,135,10.0584,4.5,37.7778,,,0,0,0,2017-04-22T05:30:06Z,67,0.354,1.1341
24.623,12.8673,135.6497,0.4061,98,135,10.3632,4.5,37.7778,,,0,0,0,2017-04-22T05:30:07Z,68,0.354,1.1341
24.623,10.7064,126,0.413,97,136,10.3632,3.9,37.7778,,,0,0,0,2017-04-22T05:30:08Z,69,0.354,1.134
24.3011,11.826,117,0.4197,92,137,10.3632,3,37.2222,,,0,0,0,2017-04-22T05:30:09Z,70,0.354,1.136
23.4964,16.7246,123,0.4263,94,137,10.0584,2.6,37.2222,,,0,0,0,2017-04-22T05:30:10Z,71,0.354,1.136
