iBike,13,metric
2017,7,2,6,16,58
2nd July CIET Loop,<-Weight (kg) Energy (kJ),Aero,Fric,dt,Ref Elev (m),Climbing (m),Wheel Circ (mm),Ref Temper (degC),Ref Press (mbar),Internal,Wind Scaling,Riding Tilt (%),Cal Weight (kg),Internal,Cm,CdA (m^2),Crr,Note,UTC Time Zone Offset,Creator,Ride Duration,Ride Distance (km),Calories Burned (kcal),Trainer Ride,Device
73.935556,403.324692,0.375000,2.468199,1.000000,0.000000,58.094880,2105.0,14.85,1013.25,-8,1.05932,0.20,73.9,0.000,1.0204,0.35400,0.005403,CIET Loop on Small Ring,5.50,"iBike Newton, 6.21",1:39:58,39.76,386.0,FALSE,iBike Newton
Speed (km/hr),Wind Speed (km/hr),Power (W),Distance (km),Cadence (RPM),Heartrate (BPM),Elevation (meters),Hill slope (%),Temperature (degC),Lap Marker,Annotation,DFPM Power,Latitude,Longitude,Timestamp,Moving Time,CdA (m^2),Air Dens (kg/m^3)
0.6437,14.354,0,0.0002,0.001,0,468.4776,0.3,24.4444,1,,0,0,0,2017-07-02T00:46:58Z,0,0.354,1.1216
5.3108,12.431,0,0.0017,114,0,468.4776,0,24.4444,,,0,0,0,2017-07-02T00:46:59Z,1,0.354,1.1216
23.0136,14.354,115.9002,0.008,118,0,468.4776,-0.7,24.4444,,,0,0,0,2017-07-02T00:47:00Z,2,0.354,1.1216
24.1402,13.427,120,0.0148,105,0,468.4776,-0.8,24.4444,,,0,0,0,2017-07-02T00:47:01Z,3,0.354,1.1216
24.623,14.7958,0,0.0216,81,0,468.1728,-1.5,24.4444,,,0,0,0,2017-07-02T00:47:02Z,4,0.354,1.1216
24.462,14.354,0,0.0284,88,0,468.1728,-1.5,24.4444,,,0,0,0,2017-07-02T00:47:03Z,5,0.354,1.1216
24.3011,15.2245,0,0.0351,74,0,468.1728,-1.1,24.4444,,,0,0,0,2017-07-02T00:47:04Z,6,0.354,1.1217
24.3011,15.6417,0,0.0419,66,0,468.1728,-0.9,24.4444,,,0,0,0,2017-07-02T00:47:05Z,7,0.354,1.1217
23.9792,16.4443,0,0.0485,61,0,467.868,-0.7,24.4444,,,0,0,0,2017-07-02T00:47:06Z,8,0.354,1.1217
23.3355,13.898,45,0.055,118,0,467.868,-0.8,24.4444,,,0,0,0,2017-07-02T00:47:07Z,9,0.354,1.1217
23.8183,13.898,0,0.0616,103,0,467.868,-0.7,24.4444,,,0,0,0,2017-07-02T00:47:08Z,10,0.354,1.1217
23.4964,14.3538,0,0.0682,67,0,467.868,-0.9,24.4444,,,0,0,0,2017-07-02T00:47:09Z,11,0.354,1.1217
23.3355,17.5794,0,0.0747,67,0,467.868,-0.8,24.4444,,,0,0,0,2017-07-02T00:47:10Z,12,0.354,1.1217
22.8527,16.831,0,0.081,60,0,467.868,-0.7,24.4444,,,0,0,0,2017-07-02T00:47:11Z,13,0.354,1.1217
22.3699,15.6414,33,0.0872,40,0,467.868,-0.6,24.4444,,,0,0,0,2017-07-02T00:47:12Z,14,0.354,1.1217
22.6918,15.6414,229,0.0935,116,0,467.868,0.1,24.4444,,,0,0,0,2017-07-02T00:47:13Z,15,0.354,1.1217
23.9792,16.8307,155,0.1002,119,113,467.868,0.2,24.4444,,,0,0,0,2017-07-02T00:47:14Z,16,0.354,1.1218
24.462,16.4437,156,0.107,122,112,467.5632,0.7,24.4444,,,0,0,0,2017-07-02T00:47:15Z,17,0.354,1.1218
25.1058,17.9416,161,0.114,125,111,467.5632,0.4,24.4444,,,0,0,0,2017-07-02T00:47:16Z,18,0.354,1.1218
26.0714,20.2986,177,0.1212,80,111,467.5632,0.1,24.4444,,,0,0,0,2017-07-02T00:47:17Z,19,0.354,1.1218
25.9104,17.9416,0,0.1284,74,110,467.5632,0.2,24.4444,,,0,0,0,2017-07-02T00:47:18Z,20,0.354,1.1218
25.4276,17.2089,0,0.1355,74,110,467.5632,-0.2,24.4444,,,0,0,0,2017-07-02T00:47:19Z,21,0.354,1.1218
25.2667,16.4437,0,0.1425,79,110,467.5632,0.1,24.4444,,,0,0,0,2017-07-02T00:47:20Z,22,0.354,1.1218
