iBike,13,metric
2016,11,22,6,16,17
,<-Weight (kg) Energy (kJ),Aero,Fric,dt,Ref Elev (m),Climbing (m),Wheel Circ (mm),Ref Temper (degC),Ref Press (mbar),Internal,Wind Scaling,Riding Tilt (%),Cal Weight (kg),Internal,Cm,CdA (m^2),Crr,Note,UTC Time Zone Offset,Creator,Ride Duration,Ride Distance (km),Calories Burned (kcal),Trainer Ride,Device
71.667594,879.388783,0.558567,8.011106,1.000000,0.000000,517.977120,2096.0,14.85,1013.25,-7,2.33345,-0.60,71.7,0.000,1.0204,0.23937,0.005395,,6.50,"iBike Newton, 6.12",2:16:15,58.18,840.7,FALSE,iBike Newton
Speed (km/hr),Wind Speed (km/hr),Power (W),Distance (km),Cadence (RPM),Heartrate (BPM),Elevation (meters),Hill slope (%),Temperature (degC),Lap Marker,Annotation,DFPM Power,Latitude,Longitude,Timestamp,Moving Time,CdA (m^2),Air Dens (kg/m^3)
36.2102,36.5073,32,0,81,0,565.0992,-2.4,14.4444,1,,0,0,0,2016-11-21T23:46:17Z,0,0.2394,1.1459
36.0493,36.5066,50,0.01,80,0,565.0992,-2.1,14.4444,,,0,0,0,2016-11-21T23:46:18Z,1,0.2394,1.1459
36.2102,33.7392,36,0.0201,81,0,565.0992,-1.9,14.4444,,,0,0,0,2016-11-21T23:46:19Z,2,0.2394,1.1459
36.2102,34.9505,0,0.0301,82,0,565.0992,-2.2,14.4444,,,0,0,0,2016-11-21T23:46:20Z,3,0.2394,1.146
36.3712,39.0751,61,0.0402,80,0,565.0992,-2.2,14.4444,,,0,0,0,2016-11-21T23:46:21Z,4,0.2394,1.1461
36.3712,40.1259,0,0.0503,81,0,565.0992,-2.4,14.4444,,,0,0,0,2016-11-21T23:46:22Z,5,0.2394,1.1461
36.3712,38.7168,51,0.0604,81,0,565.0992,-2.7,14.4444,,,0,0,0,2016-11-21T23:46:23Z,6,0.2394,1.1462
36.693,37.6253,0,0.0706,82,0,565.0992,-2.7,14.4444,,,0,0,0,2016-11-21T23:46:24Z,7,0.2394,1.1462
37.0149,38.7161,51,0.0809,84,0,565.0992,-3.1,14.4444,,,0,0,0,2016-11-21T23:46:25Z,8,0.2394,1.1462
37.3368,37.9917,38,0.0913,83,0,565.0992,-3.3,14.4444,,,0,0,0,2016-11-21T23:46:26Z,9,0.2394,1.1462
37.6586,36.8788,0,0.1017,84,0,565.0992,-3.3,14.4444,,,0,0,0,2016-11-21T23:46:27Z,10,0.2394,1.1463
37.9805,32.4766,0,0.1123,85,0,565.0992,-3.3,14.4444,,,0,0,0,2016-11-21T23:46:28Z,11,0.2394,1.1463
38.4633,34.5466,0,0.123,86,0,565.0992,-3.3,14.4444,,,0,0,0,2016-11-21T23:46:29Z,12,0.2394,1.1463
38.6243,33.3197,0,0.1337,63,0,565.0992,-3.3,14.4444,,,0,0,0,2016-11-21T23:46:30Z,13,0.2394,1.1463
38.4633,31.1677,69,0.1444,88,0,565.0992,-3.1,14.4444,,,0,0,0,2016-11-21T23:46:31Z,14,0.2394,1.1463
38.9461,29.8015,91,0.1552,88,0,565.0992,-2.9,14.4444,,,0,0,0,2016-11-21T23:46:32Z,15,0.2394,1.1464
39.7508,36.8768,62,0.1663,90,0,565.0992,-2.9,14.4444,,,0,0,0,2016-11-21T23:46:33Z,16,0.2394,1.1464
40.2336,40.4637,49,0.1774,89,0,565.0992,-3,14.4444,,,0,0,0,2016-11-21T23:46:34Z,17,0.2394,1.1465
40.3945,33.3173,81,0.1887,90,0,565.0992,-2.8,14.4444,,,0,0,0,2016-11-21T23:46:35Z,18,0.2394,1.1465
40.8773,35.337,42,0.2,91,0,565.0992,-3.2,14.4444,,,0,0,0,2016-11-21T23:46:36Z,19,0.2394,1.1466
41.1992,40.8029,107,0.2114,92,0,565.0992,-2.7,14.4444,,,0,0,0,2016-11-21T23:46:37Z,20,0.2394,1.1466
41.5211,40.4607,0,0.223,92,0,565.0992,-2.9,14.4444,,,0,0,0,2016-11-21T23:46:38Z,21,0.2394,1.1467
41.8429,39.4179,86,0.2346,93,0,565.0992,-3.2,14.4444,,,0,0,0,2016-11-21T23:46:39Z,22,0.2394,1.1467
42.1648,42.4659,72,0.2463,94,0,565.0992,-3.2,14.4444,,,0,0,0,2016-11-21T23:46:40Z,23,0.2394,1.1468
42.6476,38.3447,81,0.2582,95,0,565.0992,-3.5,14.4444,,,0,0,0,2016-11-21T23:46:41Z,24,0.2394,1.1469
42.9695,39.7647,83,0.2701,96,0,565.0992,-3.2,14.4444,,,0,0,0,2016-11-21T23:46:42Z,25,0.2394,1.1469
43.1304,40.112,87,0.2821,95,0,565.0992,-3.1,14.4444,,,0,0,0,2016-11-21T23:46:43Z,26,0.2394,1.1469
43.2914,39.0601,0,0.2941,46,0,565.0992,-3.1,14.4444,,,0,0,0,2016-11-21T23:46:44Z,27,0.2394,1.147
43.1304,44.3786,108,0.3061,93,0,565.0992,-2.8,14.4444,,,0,0,0,2016-11-21T23:46:45Z,28,0.2394,1.147
42.9695,39.7625,40,0.318,70,0,565.0992,-2.6,14.4444,,,0,0,0,2016-11-21T23:46:46Z,29,0.2394,1.147
42.6476,42.7858,81,0.3299,87,0,565.0992,-2.3,14.4444,,,0,0,0,2016-11-21T23:46:47Z,30,0.2394,1.1471
42.3257,40.1083,39,0.3416,94,0,564.7944,-2,14.4444,,,0,0,0,2016-11-21T23:46:48Z,31,0.2394,1.1471
42.1648,39.41,49,0.3533,94,0,564.4896,-2.3,14.4444,,,0,0,0,2016-11-21T23:46:49Z,32,0.2394,1.1472
42.0039,39.0565,120,0.365,93,0,564.1848,-2,14.4444,,,0,0,0,2016-11-21T23:46:50Z,33,0.2394,1.1472
41.8429,41.4668,86,0.3766,92,0,563.88,-2.3,14.4444,,,0,0,0,2016-11-21T23:46:51Z,34,0.2394,1.1472
41.682,43.1064,120,0.3882,92,0,563.5752,-2.1,14.4444,,,0,0,0,2016-11-21T23:46:52Z,35,0.2394,1.1472
41.3601,44.0609,38,0.3997,91,0,563.5752,-1.8,14.4444,,,0,0,0,2016-11-21T23:46:53Z,36,0.2394,1.1472
40.8773,41.7998,92,0.4111,91,0,563.88,-1.5,14.4444,,,0,0,0,2016-11-21T23:46:54Z,37,0.2394,1.1472
