iBike,13,metric
2016,12,11,18,36,2
,<-Weight (kg) Energy (kJ),Aero,Fric,dt,Ref Elev (m),Climbing (m),Wheel Circ (mm),Ref Temper (degC),Ref Press (mbar),Internal,Wind Scaling,Riding Tilt (%),Cal Weight (kg),Internal,Cm,CdA (m^2),Crr,Note,UTC Time Zone Offset,Creator,Ride Duration,Ride Distance (km),Calories Burned (kcal),Trainer Ride,Device
72.574779,1581.754330,0.711703,12.102514,1.000000,0.000000,660.196800,2096.0,14.85,1013.25,-8,2.32363,-1.30,72.6,0.000,1.0204,0.30629,0.004000,,6.50,"iBike Newton, 6.12",2:58:31,95.84,1512.2,FALSE,iBike Newton
Speed (km/hr),Wind Speed (km/hr),Power (W),Distance (km),Cadence (RPM),Heartrate (BPM),Elevation (meters),Hill slope (%),Temperature (degC),Lap Marker,Annotation,DFPM Power,Latitude,Longitude,Timestamp,Moving Time,CdA (m^2),Air Dens (kg/m^3)
13.6794,16.6709,0,0.0038,0.001,0,553.8216,0.6,16.6667,1,,0,0,0,2016-12-11T00:36:06Z,0,0.3063,1.14
13.8404,19.0077,0,0.0076,0.001,0,553.8216,0.6,16.6667,,,0,0,0,2016-12-11T00:36:07Z,1,0.3063,1.14
13.6794,19.7252,161.625,0.0114,53,0,552.9072,1.1,16.6667,,,0,0,0,2016-12-11T00:36:08Z,2,0.3063,1.14
13.8404,19.008,150.6693,0.0153,62,147,553.212,1.2,16.6667,,,0,0,0,2016-12-11T00:36:09Z,3,0.3063,1.14
14.3232,19.7256,125.0344,0.0193,64,147,553.5168,2,16.6667,,,0,0,0,2016-12-11T00:36:10Z,4,0.3063,1.14
14.806,19.008,106.3577,0.0234,66,144,553.5168,2.1,16.6667,,,0,0,0,2016-12-11T00:36:11Z,5,0.3063,1.14
15.1278,16.6712,78.9582,0.0276,67,144,553.5168,1.6,16.6667,,,0,0,0,2016-12-11T00:36:12Z,6,0.3063,1.14
15.1278,19.7267,116.4991,0.0318,69,153,553.8216,1.8,16.6667,,,0,0,0,2016-12-11T00:36:13Z,7,0.3063,1.1398
15.4497,19.7267,131.6904,0.0361,69,153,553.8216,1.8,16.6667,,,0,0,0,2016-12-11T00:36:14Z,8,0.3063,1.1398
15.6106,9.1317,105.2062,0.0404,69,153,553.8216,2.1,16.6667,,,0,0,0,2016-12-11T00:36:15Z,9,0.3063,1.1398
15.4497,14.9111,83.7155,0.0447,69,153,553.8216,2.4,16.6667,,,0,0,0,2016-12-11T00:36:16Z,10,0.3063,1.14
